,altitude,aspect,fault,ndvi,plan,profile,rainfall,river,road,slope,spi,sti,twi,soil_0,landuse_0,lithology_0,len_x,len_y,Shape_Leng,Shape_Area
0,386.0223881,85.57873289,7129.37739,0.217699954,0.041209082,0.049045003,924.9286287,142.9389779,1687.655649,17.03458089,71.47899287,14.67791961,5.680153905,10,2,83,17,27,2350,193125
1,343.3733333,259.0964897,6924.031797,0.129186533,0.133657265,0.217559732,923.2594417,79.7501101,1788.604867,16.35342637,33.1066534,9.962984929,5.568038429,10,2,83,19,10,1550,48750
2,349.7179487,98.04920617,6730.868114,0.183686475,0.181164678,0.158998119,921.8049551,108.3678358,1656.154829,15.31275219,22.71888665,8.176448944,5.485994052,10,2,83,8,8,850,24375
3,439.7919192,146.5861337,7091.285576,0.242212559,0.023843452,0.024855742,925.0676368,325.4740417,1318.281857,18.83050809,54.87706718,13.66808268,5.577745358,10,2,83,25,38,3200,321875
4,381.4357143,260.0210082,6782.761217,0.193320358,0.049039318,0.016641656,922.1048462,237.7879075,1562.307677,20.80141528,51.94066666,14.26357509,5.351619276,10,2,83,24,17,2250,128750
5,1001.512739,176.3527261,1720.25756,0.218089563,-0.001247605,0.001732726,953.6111951,613.0144998,1300.456822,24.38141393,171.7270539,25.78616973,5.427083989,6,3,225,64,46,5850,703125
6,969.9729207,129.9262247,1807.225233,0.259017591,-0.044680809,-0.003425615,954.4037824,482.5399329,1174.952984,20.96909057,204.3982264,25.36261419,5.723717872,6,3,225,61,39,5250,353750
7,957.682959,169.9449523,1934.527266,0.247229911,0.001159999,-0.027658357,955.2341214,520.652512,1173.164547,23.75731935,120.4954674,23.33371833,5.406986991,6,3,225,56,43,5150,481875
8,432.4387097,144.9930084,6853.34947,0.2157778,0.058221613,0.035299091,923.6864267,207.6912492,991.5443539,17.86266501,63.78703588,13.88906011,5.632841692,10,3,83,27,38,3550,290625
9,791.8611111,153.90486,1507.315162,0.214796905,-0.096620914,-0.096620906,953.571384,141.5440116,1295.682115,15.64716762,27.34292296,8.955254229,5.374344978,4,3,225,8,7,750,22500
10,919.6143617,112.7279784,1950.311758,0.228106527,-0.048288441,-0.015346134,955.5370763,540.0660527,1174.813932,20.0165445,182.7682206,23.44328804,5.681800384,6,3,225,52,48,5250,235000
11,387.2826087,86.54105417,6444.486119,0.23327487,-0.043096976,-0.032794949,919.7818064,73.11440469,1563.092403,19.67318058,50.37061087,14.08076059,5.392608484,10,2,83,18,13,1750,86250
12,406.40625,272.3303842,6274.762166,0.175206925,0.054278374,0.052004932,918.2289035,331.4777803,1350.802463,16.47426268,64.22129308,13.21321885,5.655733523,10,2,83,21,21,2300,120000
13,675.4050633,225.0512193,949.4464884,0.245141705,0.129929105,0.030566506,950.2124819,171.7532022,729.7063073,19.0454505,110.1346905,15.57099414,5.463381149,4,2,225,19,8,1350,49375
14,448.816,158.8676356,6173.908512,0.129767217,0.049100332,0.049202332,917.2428848,627.2257393,1079.641701,20.21657449,87.72410617,16.8157161,5.516470176,4,2,83,29,27,2900,156250
15,666.1964286,191.0011777,504.6737089,0.243250287,0.018975159,0.001286373,947.5498204,639.4771495,400.4985403,20.48445767,113.7986458,19.73368773,5.617090035,4,3,225,44,28,3900,413125
16,409.4,100.9432638,6171.183655,0.230578429,0.093932043,0.090219169,917.7476947,87.98214387,1361.934427,18.19965013,52.39005131,12.87346957,5.479320443,10,2,83,18,16,1750,84375
17,493.0792291,265.2627067,6112.956533,0.14925838,-0.08969748,-0.067126926,916.7008445,814.0175,820.7447729,22.7898336,92.80545255,19.06201301,5.361303237,4,2,83,44,43,4550,417500
18,418.9295775,149.4487664,5239.802026,0.23444207,0.019523307,0.030185643,911.9367087,250.4002996,825.5609982,17.4296817,73.97379351,14.40750855,5.570129175,10,2,83,26,25,2700,253750
19,620.4579439,210.5017272,6155.907569,0.171701223,0.050987423,-0.002777709,925.1117793,1060.115972,315.4307486,19.87308083,48.09259158,13.58385702,5.446822858,4,2,83,19,27,2400,156875
20,415.7920792,281.4851546,5928.021803,0.172269432,0.006525114,0.058543927,915.585251,300.4795541,1464.584371,16.65509329,28.11464731,9.579927807,5.313400304,4,2,83,17,12,1500,63125
21,501.0430233,164.5033089,5569.288843,0.241163646,-0.004414121,-0.021954002,913.6518677,418.3775127,377.7676744,16.6864878,54.07857634,12.60589035,5.587970861,4,2,83,38,47,4650,619375
22,593.3108808,195.0419996,166.1756148,0.229878519,-0.056452149,-0.01680646,945.609937,662.4188819,66.29426614,16.67751963,242.3840376,22.24197096,5.878732113,4,3,83,29,34,3250,163750
23,623.9902913,230.4366928,6036.643721,0.121936212,-0.08744348,-0.101550361,923.7566291,1071.113943,453.6116212,19.63724663,51.09981877,14.40126441,5.367896518,4,2,83,10,21,1650,64375
24,286.8090909,170.53486,3431.070557,0.152142163,0.037627471,0.02730135,930.6247089,1462.912331,1360.301381,21.16752393,77.34997827,16.66238029,5.352293889,10,2,225,34,20,2750,306250
25,681.8451777,151.486139,783.0913945,0.233171636,-0.014291523,0.003325286,949.1939141,382.3312428,616.5932227,22.04507925,196.2127164,27.06709863,5.635574321,4,3,225,52,14,3800,249375
26,486.3340336,162.1340276,6428.611132,0.140795611,-0.012759856,-0.009985586,920.9057168,280.2972514,681.0867767,21.62044923,86.63108933,18.65558935,5.486089718,4,2,83,45,68,6000,595000
27,313.4222222,147.7051861,3200.293416,0.215270896,0.010734371,0.001907594,934.6893156,1217.430182,2113.49614,20.83440951,51.2259453,14.43833178,5.235955627,10,3,225,24,32,2850,288125
28,923.3912332,154.7671421,3813.100512,0.158964713,0.000805037,0.004761056,965.6229223,347.7622281,263.05915,20.35401676,91.51539545,17.81971081,5.596353548,6,3,37,107,118,12200,2490625
29,636.6666667,284.242395,120.6558041,0.107347845,-0.006555689,-0.021804559,944.3240716,728.9784649,178.8907883,26.0261594,119.4963152,23.71594488,5.377194879,4,2,225,24,37,3200,300625
30,555.8097622,122.1444212,6697.08392,0.212418634,-0.033659864,-0.030840071,924.6319475,521.6585318,328.3412236,17.12544603,79.5997004,14.69648845,5.659137547,10,2,83,54,34,4800,530000
31,653.7782427,177.5278087,1009.538746,0.255189571,0.001751083,0.022797858,950.9218625,101.5361733,774.5718165,18.32052351,74.71052943,15.2523331,5.572324814,4,3,225,28,16,2450,149375
32,625.0338983,244.9968956,5946.623688,0.145915774,0.130414038,0.06597919,923.3060629,1027.836255,554.0045213,19.8843946,170.0643802,21.76187882,5.64765106,4,2,83,18,28,2450,88750
33,315.2084257,239.847086,3329.750836,0.140934984,0.035540848,0.064708304,932.0990012,1558.149177,1716.950387,21.40609493,99.77859215,18.61463196,5.555963343,10,2,225,42,26,3500,351875
34,631.4647059,179.5256983,5808.241513,0.14368346,0.115211383,0.082759015,923.0315907,951.7149134,682.2639928,18.76584424,92.02493397,15.7626315,5.559185684,4,2,83,15,29,2450,122500
35,335.2298507,174.5744783,3079.862749,0.140316235,-0.012324885,-0.018753921,930.3334578,1347.016304,1359.909966,22.59322872,79.5175658,17.96654695,5.235837063,10,2,225,32,25,3050,209375
36,317.4,154.016186,2952.832405,0.146570132,-0.031441048,-0.013468892,935.1055741,995.431135,1997.320602,21.54753026,86.38367111,18.92831469,5.521944864,10,2,225,22,42,3850,270000
37,494.0787172,268.8987405,5757.498463,0.153179131,-0.061790055,-0.033718932,913.7811258,684.2044214,1091.440171,24.33274282,118.7066879,22.99205847,5.400569752,4,2,83,31,29,3150,214375
38,932.5016447,284.5948365,3252.693097,0.072496469,0.025360552,0.018635112,963.0797421,408.9981391,320.3853819,21.44668468,108.586004,20.36324811,5.535813772,6,2,158,101,96,10150,1546875
39,587.6077844,118.8600906,773.9383995,0.220995002,-0.053623235,-0.011518286,949.5538094,154.0408045,531.5787092,20.49433473,87.59346202,17.60021661,5.568661254,4,3,225,43,20,3650,208750
40,514.5308642,200.6419565,505.2311175,0.140077545,0.07923997,0.08027454,948.0081765,153.1959603,302.913556,15.42291418,63.53289616,11.02031407,5.805346127,4,3,83,23,7,1800,50625
41,491.8019802,138.1560845,388.34763,0.081568015,-0.070654652,-0.009427651,947.2754305,120.7088193,179.723373,17.76284949,112.0758146,14.23054127,5.815663855,4,3,83,21,8,1700,63125
42,667,288.0041504,4565.250977,0.016949153,-0.554676533,-3.75467658,927.3778076,944.2389526,1036.396118,22.81136894,10.51486969,7.224655151,4.084961414,4,2,83,1,1,100,625
