FID,Shape_Leng,Shape_Area,Count_,landslide,prob
0,2350,193125,0,0,0.467009
1,1550,48750,0,0,0.237258
2,850,24375,0,0,0.35891
3,3200,321875,0,0,0.764901
4,2250,128750,0,0,0.562786
5,5850,703125,0,0,0.870238
6,5250,353750,0,0,0.89381
7,5150,481875,0,0,0.950947
8,3550,290625,0,0,0.887486
9,750,22500,0,0,0.43044
10,5250,235000,0,0,0.791576
11,1750,86250,0,0,0.926884
12,2300,120000,0,0,0.702317
13,1350,49375,0,0,0.498811
14,2900,156250,0,0,0.621282
15,3900,413125,0,0,0.595233
16,1750,84375,0,0,0.578078
17,4550,417500,0,0,0.770053
18,2700,253750,0,0,0.822708
19,2400,156875,0,0,0.910658
20,1500,63125,0,0,0.126667
21,4650,619375,0,0,0.926877
22,3250,163750,0,0,0.419522
23,1650,64375,0,0,0.76338
24,2750,306250,0,0,0.667757
25,3800,249375,0,0,0.780235
26,6000,595000,0,0,0.622598
27,2850,288125,0,0,0.675827
28,12200,2490625,0,0,0.399644
29,3200,300625,0,0,0.728076
30,4800,530000,0,0,0.466019
31,2450,149375,0,0,0.612312
32,2450,88750,0,0,0.802041
33,3500,351875,0,0,0.90747
34,2450,122500,0,0,0.811774
35,3050,209375,0,0,0.322186
36,3850,270000,0,0,0.406133
37,3150,214375,0,0,0.777829
38,10150,1546875,0,0,0.563886
39,3650,208750,0,0,0.286166
40,1800,50625,0,0,0.224028
41,1700,63125,0,0,0.9329
42,100,625,0,0,0.877376
43,3750,390625,0,0,0.759789
44,3250,164375,0,0,0.899845
45,2900,115000,0,0,0.721485
46,3550,302500,0,0,0.787942
47,3450,294375,0,0,0.949512
48,5650,786875,0,0,0.550951
49,4300,336875,0,0,0.636057
50,3900,380000,0,0,0.838064
51,3700,298125,0,0,0.772003
52,2750,203125,0,0,0.845989
53,1550,44375,0,0,0.523006
54,2250,83750,0,0,0.618458
55,1950,138750,0,0,0.713623
56,3000,177500,0,0,0.80165
57,3400,167500,0,0,0.592711
58,2800,122500,0,0,0.82784
59,3450,403750,0,0,0.835975
60,5300,585000,1,1,0.650264
61,2800,196250,0,0,0.760678
62,4100,486875,0,0,0.866024
63,3250,227500,0,0,0.63243
64,8600,1192500,0,0,0.803208
65,3300,218750,0,0,0.788394
66,4200,455000,0,0,0.91881
67,2950,236875,0,0,0.711215
68,2700,115625,0,0,0.669432
69,950,26875,0,0,0.286832
70,2800,198125,0,0,0.647516
71,3850,292500,0,0,0.48748
72,1400,55625,0,0,0.850941
73,3350,301875,0,0,0.814607
74,4950,423750,0,0,0.886349
75,2900,216250,0,0,0.801247
76,3750,343750,0,0,0.731669
77,2450,61875,0,0,0.812522
78,6300,931250,0,0,0.34073
79,3400,219375,0,0,0.907691
80,1900,65625,0,0,0.846465
81,4600,447500,0,0,0.778895
82,1900,81875,0,0,0.808214
83,3150,225000,0,0,0.810057
84,2650,139375,0,0,0.449054
85,2450,173125,0,0,0.940639
86,3050,193750,0,0,0.776431
87,3550,314375,0,0,0.914445
88,3300,216250,0,0,0.56667
89,3850,507500,0,0,0.870937
90,1900,106250,0,0,0.511608
91,1950,141875,0,0,0.835433
92,1400,51875,0,0,0.948359
93,3350,229375,0,0,0.424756
94,9250,1569375,0,0,0.926157
95,1400,60625,0,0,0.843843
96,3300,271250,0,0,0.750705
97,1400,60000,0,0,0.844073
98,2600,128750,0,0,0.624287
99,4850,388125,0,0,0.91688
100,3150,182500,0,0,0.805872
101,7250,564375,0,0,0.78093
102,2100,120625,0,0,0.520084
103,800,30625,0,0,0.94629
104,3300,314375,0,0,0.647499
105,4050,296875,0,0,0.949194
106,1950,120625,0,0,0.805932
107,5900,828125,0,0,0.799115
108,2150,121250,0,0,0.774832
109,1550,41875,0,0,0.238743
110,3850,236875,0,0,0.750398
111,1000,28750,0,0,0.406003
112,8950,852500,0,0,0.41592
113,3050,200000,0,0,0.858774
114,5300,556875,0,0,0.391372
115,3700,257500,0,0,0.655931
116,2500,135000,0,0,0.586773
117,600,18125,0,0,0.48987
118,3700,253750,0,0,0.473767
119,3050,163125,0,0,0.879766
120,3900,294375,0,0,0.932255
121,4000,306875,0,0,0.398962
122,3450,140625,0,0,0.826777
123,4650,400625,0,0,0.849122
124,1800,72500,0,0,0.444591
125,4800,595625,0,0,0.94328
126,3600,298750,0,0,0.577439
127,6550,575000,0,0,0.891278
128,3500,269375,0,0,0.878224
129,2800,130625,0,0,0.40401
130,2450,86250,0,0,0.613509
131,650,19375,0,0,0.906558
132,4000,270000,0,0,0.89782
133,2050,62500,0,0,0.81923
134,2700,130000,0,0,0.497531
135,4250,424375,0,0,0.750215
136,2100,128750,0,0,0.939067
137,4050,410625,0,0,0.824742
138,2250,135625,0,0,0.756779
139,1300,47500,0,0,0.657063
140,2700,237500,0,0,0.81736
141,3500,115625,0,0,0.390461
142,4000,326250,0,0,0.780737
143,3150,291875,0,0,0.454754
144,2750,143750,0,0,0.817726
145,1650,84375,0,0,0.821545
146,3250,268750,0,0,0.74019
147,2750,148750,0,0,0.8874
148,2950,141250,0,0,0.809073
149,2800,210625,0,0,0.193772
150,2950,200625,0,0,0.946064
151,1800,101250,0,0,0.681785
152,3200,112500,0,0,0.857694
153,2850,171875,0,0,0.872969
154,2500,180625,0,0,0.483875
155,6200,478125,0,0,0.79725
156,3500,286250,0,0,0.941679
157,3150,263750,0,0,0.82174
158,6550,533125,0,0,0.890667
159,5200,337500,1,1,0.6021
160,900,30000,0,0,0.306094
161,3300,301875,0,0,0.386616
162,3150,131875,0,0,0.438219
163,1550,68750,0,0,0.931307
164,3950,389375,0,0,0.564613
165,3300,330625,0,0,0.278718
166,5200,296875,0,0,0.591413
167,5700,428125,0,0,0.52638
168,6700,618125,0,0,0.797552
169,3300,199375,0,0,0.667178
170,4250,205625,0,0,0.820816
171,1700,65625,0,0,0.395058
172,3900,394375,0,0,0.819909
173,1800,71875,0,0,0.395941
174,5300,504375,0,0,0.693943
175,1450,77500,0,0,0.187338
176,5850,295000,0,0,0.872798
177,1200,45000,0,0,0.721998
178,4100,558750,1,1,0.910855
179,3200,215000,0,0,0.375325
180,5350,424375,0,0,0.873822
181,3850,252500,0,0,0.539672
182,3050,228750,0,0,0.310642
183,2100,128750,0,0,0.520383
184,4450,294375,0,0,0.903307
185,4150,231250,0,0,0.29532
186,3400,125000,0,0,0.905189
187,3300,276875,0,0,0.841489
188,3700,216250,0,0,0.605789
189,3000,232500,0,0,0.501628
190,4200,270000,0,0,0.913055
191,6250,826250,0,0,0.898295
192,1450,61875,0,0,0.549063
193,2150,116875,0,0,0.882842
194,3000,273750,0,0,0.286527
195,1150,48125,0,0,0.824127
196,4850,468125,0,0,0.88897
197,2700,259375,0,0,0.610813
198,3600,262500,0,0,0.933434
199,3800,412500,0,0,0.507143
200,1950,125625,0,0,0.683401
201,4500,402500,0,0,0.953835
202,1200,45625,0,0,0.671263
203,3650,393125,0,0,0.178431
204,5700,348750,1,1,0.703426
205,5300,466875,0,0,0.576098
206,3300,125625,0,0,0.92176
207,2300,143125,0,0,0.792272
208,2650,111875,0,0,0.723322
209,2200,100625,0,0,0.378586
210,1200,48125,0,0,0.761319
211,4800,350000,0,0,0.877367
212,8800,1102500,0,0,0.601774
213,3000,145000,0,0,0.431438
214,850,36875,0,0,0.168051
215,1250,58125,0,0,0.211119
216,5000,665625,0,0,0.781294
217,3000,210625,0,0,0.681565
218,4450,257500,0,0,0.600709
219,3900,248750,0,0,0.741556
220,2650,148750,0,0,0.544092
221,2700,240625,0,0,0.641391
222,2100,91250,0,0,0.313202
