FID,Shape_Leng,Shape_Area,Count_,Count_1,landslide,prob
0,2550,85000,0,0,0,0.78128
1,5050,403750,0,0,0,0.49033
2,5050,576875,0,0,0,0.718633
3,1200,55000,0,0,0,0.52384
4,2150,130000,0,0,0,0.528786
5,1500,95000,0,0,0,0.673499
6,5050,651875,0,0,0,0.704581
7,1150,40000,0,0,0,0.243628
8,2950,148750,0,0,0,0.636224
9,2300,142500,0,0,0,0.299902
10,2850,253125,0,0,0,0.550708
11,1150,58125,0,0,0,0.0584118
12,1650,82500,0,0,0,0.0394878
13,5650,736250,0,0,0,0.19852
14,4250,302500,0,0,0,0.791118
15,4150,567500,0,0,0,0.779417
16,7550,1542500,0,0,0,0.29016
17,2500,133750,0,0,0,0.772848
18,3300,281875,0,0,0,0.449497
19,4300,244375,0,0,0,0.527945
20,4350,288750,0,0,0,0.320861
21,3250,271875,0,0,0,0.435912
22,3250,279375,0,0,0,0.202852
23,5850,371875,0,0,0,0.320711
24,4500,677500,0,0,0,0.24193
25,3250,181875,0,0,0,0.149688
26,1000,30625,0,0,0,0.206318
27,5700,810000,0,0,0,0.169987
28,1300,52500,0,0,0,0.486733
29,2500,182500,0,0,0,0.649995
30,3700,312500,0,0,0,0.319793
31,1350,43125,0,0,0,0.035135
32,3050,100000,0,0,0,0.100032
33,2050,91250,0,0,0,0.320582
34,5000,322500,0,0,0,0.609821
35,3450,131875,0,0,0,0.699877
36,900,31250,0,0,0,0.12859
37,2100,116875,0,0,0,0.0710583
38,3550,191250,0,0,0,0.281586
39,4300,370625,0,0,0,0.644025
40,3250,111875,0,0,0,0.422999
41,3450,325000,0,0,0,0.580155
42,3600,244375,0,0,0,0.463886
43,4900,484375,0,0,0,0.591349
44,5250,218125,0,0,0,0.3694
45,3650,163125,0,0,0,0.445295
46,4500,563125,0,0,0,0.248772
47,3650,213125,0,0,0,0.71135
48,2750,291875,0,0,0,0.25531
49,3100,254375,0,0,0,0.344976
50,3450,295625,0,0,0,0.222523
51,3800,246875,0,0,0,0.512689
52,1800,98125,0,0,0,0.463375
53,1050,17500,0,0,0,0.38898
54,4700,455000,0,0,0,0.158292
55,4700,412500,0,0,0,0.659193
56,4850,510625,0,0,0,0.457238
57,3450,183750,0,0,0,0.736939
58,2950,240000,0,0,0,0.358061
